,spot,timestamp,reporter,reporter_grid,snr,frequency,tx_call,tx_grid,power,drift,distance,azimuth,band,version,code
1074171,1090219780,1519956360,SWL-BFTSC,EM92qk,-22,7.0401229999999995,G4PEY,IO91tb,27,0,6620,285,7,1.2 Kiwi,0
29640553,1119020849,1522476240,W4ERJ,FM09xj,-20,7.040045,ZS1LCD,JF95fx,30,0,12823,302,7,1.8.0,0
10203331,1099407099,1520720640,DL3GAK,JN48xe,-14,1.838107,DB1EPO,JO31hg,30,0,418,144,1,,0
6141190,1095317338,1520377560,N4TVC,FM18is,-23,7.0401039999999995,DL4XJ,JO42un,33,0,6508,294,7,,0
1640463,1090794550,1520004120,K7GXB,DM34sn,-18,14.097145999999999,NO7G,DN58,20,0,1573,192,14,1.8.0,0
6011364,1095186177,1520367480,F/PE3ES,JN28ux,-16,5.288725,G4WCP,IO90wu,33,0,467,114,5,,0
7601986,1096798925,1520500440,PI4THT,JO32kf,1,0.475663,G3KEV,IO94sh,37,0,540,112,0,0.6,0
9564956,1098769930,1520652000,N2HQI,FN13sa,-12,7.040189,G4GCI,IO90gu,37,0,5511,292,7,1.7.0,0
30420939,1119800979,1522535880,VK5ADE,PF94hj,-24,144.490446,VK5GF,PF94hk,43,0,5,180,144,1.9.0-rc3,0
26609787,1115941115,1522190280,DF4UE,JN48rr,-24,3.594103,LA5CTA,JO49tq,17,0,1219,181,3,,0
26757333,1116104540,1522207920,KD6RF,EM22,-18,7.040067,AB0VX,EN21cj,13,0,994,176,7,1.8.0,0
15448621,1104696528,1521148200,KA3YAN,EM92wv,-11,7.040100999999999,W4JON,FM17ep,37,0,575,204,7,1.8.0,0
8855861,1098052248,1520601360,KL7L,BP51ip,-31,0.475739,KA7OEI,DN40ao,27,0,3419,326,0,1.9.0-rc2,0
16682417,1105952259,1521261360,F4HXJ,IN87,-14,7.040012,HB9FXY,JN36cl,37,0,710,282,7,1.9.0-rc2,0
